batch	batch_id	cond
scell.nextera.1CDU_272	3	1CDU_2863	1CDU
scell.nextera.1CDU_273	3	1CDU_2863	1CDU
scell.nextera.1CDU_274	3	1CDU_2863	1CDU
scell.nextera.1CDU_275	3	1CDU_2863	1CDU
scell.nextera.1CDU_276	3	1CDU_2863	1CDU
scell.nextera.1CDU_277	3	1CDU_2863	1CDU
scell.nextera.1CDU_278	3	1CDU_2863	1CDU
scell.nextera.1CDU_281	3	1CDU_2863	1CDU
scell.nextera.1CDU_282	3	1CDU_2863	1CDU
scell.nextera.1CDU_283	3	1CDU_2863	1CDU
scell.nextera.1CDU_284	3	1CDU_2863	1CDU
scell.nextera.1CDU_285	3	1CDU_2863	1CDU
scell.nextera.1CDU_286	3	1CDU_2863	1CDU
scell.nextera.1CDU_287	3	1CDU_2863	1CDU
scell.nextera.1CDU_288	3	1CDU_2863	1CDU
scell.nextera.1CDU_291	3	1CDU_2863	1CDU
scell.nextera.1CDU_292	3	1CDU_2863	1CDU
scell.nextera.1CDU_293	3	1CDU_2863	1CDU
scell.nextera.1CDU_294	3	1CDU_2863	1CDU
scell.nextera.1CDU_295	3	1CDU_2863	1CDU
scell.nextera.1CDU_296	3	1CDU_2863	1CDU
scell.nextera.1CDU_297	3	1CDU_2863	1CDU
scell.nextera.1CDU_298	3	1CDU_2863	1CDU
scell.nextera.1CDU_301	3	1CDU_2863	1CDU
scell.nextera.1CDU_302	3	1CDU_2863	1CDU
scell.nextera.1CDU_303	3	1CDU_2863	1CDU
scell.nextera.1CDU_304	3	1CDU_2863	1CDU
scell.nextera.1CDU_305	3	1CDU_2863	1CDU
scell.nextera.1CDU_306	3	1CDU_2863	1CDU
scell.nextera.1CDU_307	3	1CDU_2863	1CDU
scell.nextera.1CDU_308	3	1CDU_2863	1CDU
scell.nextera.1CDU_311	3	1CDU_2863	1CDU
scell.nextera.1CDU_312	3	1CDU_2863	1CDU
scell.nextera.1CDU_313	3	1CDU_2863	1CDU
scell.nextera.1CDU_314	3	1CDU_2863	1CDU
scell.nextera.1CDU_315	3	1CDU_2863	1CDU
scell.nextera.1CDU_316	3	1CDU_2863	1CDU
scell.nextera.1CDU_317	3	1CDU_2863	1CDU
scell.nextera.1CDU_318	3	1CDU_2863	1CDU
scell.nextera.1CDU_321	3	1CDU_2863	1CDU
scell.nextera.1CDU_322	3	1CDU_2863	1CDU
scell.nextera.1CDU_323	3	1CDU_2863	1CDU
scell.nextera.1CDU_324	3	1CDU_2863	1CDU
scell.nextera.1CDU_325	3	1CDU_2863	1CDU
scell.nextera.1CDU_326	3	1CDU_2863	1CDU
scell.nextera.1CDU_327	3	1CDU_2863	1CDU
scell.nextera.1CDU_328	3	1CDU_2863	1CDU
scell.nextera.1CDU_331	3	1CDU_2863	1CDU
scell.nextera.1CDU_332	3	1CDU_2863	1CDU
scell.nextera.1CDU_333	3	1CDU_2863	1CDU
scell.nextera.1CDU_334	3	1CDU_2863	1CDU
scell.nextera.1CDU_335	3	1CDU_2863	1CDU
scell.nextera.1CDU_336	3	1CDU_2863	1CDU
scell.nextera.1CDU_337	3	1CDU_2863	1CDU
scell.nextera.1CDU_338	3	1CDU_2863	1CDU
scell.nextera.1CDU_341	3	1CDU_2863	1CDU
scell.nextera.1CDU_342	3	1CDU_2863	1CDU
scell.nextera.1CDU_343	3	1CDU_2863	1CDU
scell.nextera.1CDU_344	3	1CDU_2863	1CDU
scell.nextera.1CDU_345	3	1CDU_2863	1CDU
scell.nextera.1CDU_346	3	1CDU_2863	1CDU
scell.nextera.1CDU_347	3	1CDU_2863	1CDU
scell.nextera.1CDU_348	3	1CDU_2863	1CDU
scell.nextera.1CDU_351	3	1CDU_2863	1CDU
scell.nextera.1CDU_352	3	1CDU_2863	1CDU
scell.nextera.1CDU_353	3	1CDU_2863	1CDU
scell.nextera.1CDU_354	3	1CDU_2863	1CDU
scell.nextera.1CDU_355	3	1CDU_2863	1CDU
scell.nextera.1CDU_356	3	1CDU_2863	1CDU
scell.nextera.1CDU_357	3	1CDU_2863	1CDU
scell.nextera.1CDU_358	3	1CDU_2863	1CDU
scell.nextera.1CDU_361	3	1CDU_2863	1CDU
scell.nextera.1CDU_362	3	1CDU_2863	1CDU
scell.nextera.1CDU_363	3	1CDU_2863	1CDU
scell.nextera.1CDU_364	3	1CDU_2863	1CDU
scell.nextera.1CDU_365	3	1CDU_2863	1CDU
scell.nextera.1CDU_366	3	1CDU_2863	1CDU
scell.nextera.1CDU_367	3	1CDU_2863	1CDU
scell.nextera.1CDU_368	3	1CDU_2863	1CDU
scell.nextera.1CDU_611	4	1CDU_2891	1CDU
scell.nextera.1CDU_612	4	1CDU_2891	1CDU
scell.nextera.1CDU_613	4	1CDU_2891	1CDU
scell.nextera.1CDU_614	4	1CDU_2891	1CDU
